Word;translation;Example;Part of speech;Theme;;;;;;;;;;;;;;;;;;;;;
previous;предыдущий;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
recent;недавний;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
next;следующий;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
following;следующий;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
the first;первый;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
the last;последний;;adjective;Стадии;;;;;;;;;;;;;;;;;;;;;
constant;постоянный;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
continuous;длящийся;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
uninterrupted;непрерывный, бесперебойный;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
infrequent;нечастый;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
frequent;частый;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
sudden;внезапный;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
urgent;срочный;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
usual;обычный;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
interrupted;прерванный;;adjective;Характер действия / частота;;;;;;;;;;;;;;;;;;;;;
decent;приличный;;adjective;Моральные качества	;;;;;;;;;;;;;;;;;;;;;
honest;честный;;adjective;Моральные качества	;;;;;;;;;;;;;;;;;;;;;
fair;честный /справедливый;;adjective;Моральные качества	;;;;;;;;;;;;;;;;;;;;;
sincere;искренний;;adjective;Моральные качества	;;;;;;;;;;;;;;;;;;;;;
dishonest;нечестный;;adjective;Моральные качества	;;;;;;;;;;;;;;;;;;;;;
innocent;невиновный;;adjective;Моральные качества	;;;;;;;;;;;;;;;;;;;;;
guilty;виновный;;adjective;Моральные качества	;;;;;;;;;;;;;;;;;;;;;
criminal;преступный;;adjective;Моральные качества	;;;;;;;;;;;;;;;;;;;;;
healthy;здоровый;;adjective;Здоровье;;;;;;;;;;;;;;;;;;;;;
sick/ill;больной;;adjective;Здоровье;;;;;;;;;;;;;;;;;;;;;
strong;сильный;;adjective;Здоровье;;;;;;;;;;;;;;;;;;;;;
weak;слабый;;adjective;Здоровье;;;;;;;;;;;;;;;;;;;;;
tired;усталый;;adjective;Здоровье;;;;;;;;;;;;;;;;;;;;;
rich;богатый;;adjective;Материальное положение;;;;;;;;;;;;;;;;;;;;;
рооr;бедный;;adjective;Материальное положение;;;;;;;;;;;;;;;;;;;;;
ready;готовый;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
comfortable/convenient;удобный;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
free;свободный;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
vacant;свободный / вакантный;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
busy;занятый (чем-либо);;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
occupied;занятый (о месте);;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
clean;чистый;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
dirty;грязный;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
hungry;голодный;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
thirsty;жаждущий ;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
average;средний;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
sufficient/enough;достаточный;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
full;полный ;;adjective;Другое;;;;;;;;;;;;;;;;;;;;;
