Word;Part of speech;Translation;example;theme
essay;noun;ru: эссе -- ua: есе;She wrote an essay about literature. + His essay was very interesting. + The teacher assigned an essay on history.;ua: література -- ru: литература
fable;noun;ru: басня -- ua: байка;Aesop's fables teach morals. + This fable has an important lesson. + He read a famous fable.;ua: література -- ru: литература
fairy tale;noun;ru: сказка -- ua: казка;She loves reading fairy tales. + The fairy tale had a happy ending. + He told a fairy tale to his daughter.;ua: література -- ru: литература
fantasy;noun;ru: фэнтези -- ua: фентезі;This book is a great fantasy novel. + He enjoys fantasy stories. + The fantasy world in the book is unique.;ua: література -- ru: литература
fiction;noun;ru: художественная литература -- ua: художня література;She prefers fiction over non-fiction. + This novel is a work of fiction. + The fiction section is on the second floor.;ua: література -- ru: литература
fragment;noun;ru: отрывок -- ua: уривок;He read a fragment of the book. + The fragment was very interesting. + The book fragment was published online.;ua: література -- ru: литература
genre;noun;ru: жанр -- ua: жанр;His favorite genre is mystery. + This book belongs to the horror genre. + The genre of the book is romance.;ua: література -- ru: литература
headline;noun;ru: заголовок -- ua: заголовок;The headline caught my attention. + He wrote a catchy headline. + The headline summarized the article.;ua: література -- ru: литература
humorous story;noun;ru: юмористический рассказ -- ua: гумористична історія;This humorous story made me laugh. + He wrote a short humorous story. + The book is full of humorous stories.;ua: література -- ru: литература
illustration;noun;ru: иллюстрация -- ua: ілюстрація;The book contains beautiful illustrations. + She drew an illustration for the book. + The illustration matches the text perfectly.;ua: література -- ru: литература
interview;noun;ru: интервью -- ua: інтерв'ю;The author gave an interview. + He read an interview with his favorite writer. + The interview was published in the magazine.;ua: література -- ru: литература
to interview;verb;ru: брать интервью -- ua: брати інтерв’ю;She interviewed the famous author. + He interviewed several writers. + The journalist will interview the editor.;ua: література -- ru: литература
introduction;noun;ru: введение -- ua: вступ;The introduction explains the book’s theme. + He wrote a long introduction. + The introduction was very informative.;ua: література -- ru: литература
issue;noun;ru: выпуск -- ua: випуск;The latest issue of the magazine is out. + He collected every issue of this journal. + The issue includes an exclusive interview.;ua: література -- ru: литература
to issue;verb;ru: издавать, выпускать -- ua: видавати, випускати;The publisher issued a new edition. + The company issued a press release. + The government issued a new law.;ua: література -- ru: литература
journal;noun;ru: журнал, дневник -- ua: журнал, щоденник;She writes in her journal every night. + The scientific journal published an important study. + He subscribes to a medical journal.;ua: література -- ru: литература
leaflet;noun;ru: листовка, брошюра -- ua: листівка, брошура;He handed out leaflets about the event. + The leaflet contains useful information. + She picked up a travel leaflet.;ua: література -- ru: литература
legend;noun;ru: легенда -- ua: легенда;This book is based on an old legend. + He told a famous legend. + The legend describes a lost city.;ua: література -- ru: литература
library;noun;ru: библиотека -- ua: бібліотека;I borrowed this book from the library. + The library has a large collection of books. + She spends hours in the library.;ua: література -- ru: литература
literary;adjective;ru: литературный -- ua: літературний;He attended a literary festival. + The book won a literary award. + She studies literary criticism.;ua: література -- ru: литература
literary criticism;noun;ru: литературная критика -- ua: літературна критика;The professor specializes in literary criticism. + He wrote a book on literary criticism. + The course covers literary criticism theories.;ua: література -- ru: литература
literature;noun;ru: литература -- ua: література;She loves classic literature. + The university offers a degree in literature. + He reads a lot of world literature.;ua: література -- ru: литература
magazine;noun;ru: журнал -- ua: журнал;She bought a fashion magazine. + The magazine features a celebrity interview. + He writes articles for a magazine.;ua: література -- ru: литература
manuscript;noun;ru: рукопись -- ua: рукопис;The author submitted his manuscript. + The original manuscript is in the museum. + He lost his unfinished manuscript.;ua: література -- ru: литература
memoirs;noun;ru: мемуары -- ua: мемуари;He wrote his memoirs before he died. + Her memoirs became a bestseller. + The memoirs describe historical events.;ua: література -- ru: литература
myth;noun;ru: миф -- ua: міф;This is just a popular myth. + The book explains ancient myths. + He enjoys reading Greek myths.;ua: література -- ru: литература
newspaper;noun;ru: газета -- ua: газета;I read the newspaper every morning. + The newspaper published an interesting article. + He works for a newspaper.;ua: література -- ru: литература
novel;noun;ru: роман -- ua: роман;She is writing a new novel. + His novel won a literary prize. + This novel is very famous.;ua: література -- ru: литература
page;noun;ru: страница -- ua: сторінка;The book has 300 pages. + He turned the page quickly. + The last page contains a summary.;ua: література -- ru: литература
paperback;noun;ru: книга в мягкой обложке -- ua: книга в м'якій обкладинці;I prefer paperbacks to hardcovers. + The bookstore sells paperbacks. + He bought a cheap paperback.;ua: література -- ru: литература
paragraph;noun;ru: абзац -- ua: абзац;Read the first paragraph. + His essay has five paragraphs. + The paragraph explains the main idea.;ua: література -- ru: литература
passage;noun;ru: отрывок -- ua: уривок;He read a passage from the novel. + The passage was very emotional. + She memorized the passage.;ua: література -- ru: литература
plot;noun;ru: сюжет -- ua: сюжет;The plot of the book is complex. + The movie follows the same plot as the novel. + The plot twist was unexpected.;ua: література -- ru: литература
poem;noun;ru: стихотворение -- ua: вірш;He wrote a beautiful poem. + She loves romantic poems. + The poem is about nature.;ua: література -- ru: литература
poet;noun;ru: поэт -- ua: поет;He is a famous poet. + The poet wrote about love and war. + She admires modern poets.;ua: література -- ru: литература
poetry;noun;ru: поэзия -- ua: поезія;He enjoys reading poetry. + The poetry collection was published last year. + She writes poetry in her free time.;ua: література -- ru: литература
preamble;noun;ru: преамбула, введение -- ua: преамбула, вступ;The preamble introduces the main topic. + The document begins with a preamble. + He wrote a short preamble to his book.;ua: література -- ru: литература
preface;noun;ru: предисловие -- ua: передмова;The author wrote a preface to the book. + The preface explains the purpose of the book. + He always reads the preface.;ua: література -- ru: литература
press;noun;ru: пресса -- ua: преса;The press covered the event. + He gave an interview to the press. + The press published the scandal.;ua: література -- ru: литература
print;noun;ru: печать, тираж -- ua: друк, тираж;The book is in its third print. + The magazine went out of print. + The newspaper has a large print circulation.;ua: література -- ru: литература
to print;verb;ru: печатать -- ua: друкувати;They printed 10,000 copies of the book. + The printer is printing a document. + He printed the article.;ua: література -- ru: литература
prose;noun;ru: проза -- ua: проза;He prefers prose to poetry. + The novel is written in beautiful prose. + She studies modern prose.;ua: література -- ru: литература
prototype;noun;ru: прототип -- ua: прототип;The main character is based on a real-life prototype. + The scientist created a prototype of the machine. + The author’s friend was the prototype for the hero.;ua: література -- ru: литература
pseudonym;noun;ru: псевдоним -- ua: псевдонім;The writer used a pseudonym. + She published the book under a pseudonym. + His real name is different from his pseudonym.;ua: література -- ru: литература
publication;noun;ru: публикация -- ua: публікація;The publication date is next month. + He works for a scientific publication. + The newspaper delayed the publication.;ua: література -- ru: литература
report;noun;ru: отчет, репортаж -- ua: звіт, репортаж;He wrote a report on the event. + The report contains important data. + She read the news report.;ua: література -- ru: литература
rhyme;noun;ru: рифма -- ua: рима;This poem has a beautiful rhyme. + He enjoys writing rhymes. + The rhyme scheme is simple.;ua: література -- ru: литература
sensation;noun;ru: сенсация -- ua: сенсація;The book became a sensation. + The news caused a sensation. + His novel was the literary sensation of the year.;ua: література -- ru: литература
short story;noun;ru: рассказ -- ua: оповідання;She wrote a short story. + The short story was published in a magazine. + He enjoys reading short stories.;ua: література -- ru: литература
sketch;noun;ru: набросок, эскиз -- ua: нарис, ескіз;He made a sketch of the main character. + The sketch helped him visualize the story. + She drew a quick sketch.;ua: література -- ru: литература
stanza;noun;ru: строфа -- ua: строфа;The poem has four stanzas. + He memorized the first stanza. + Each stanza has a different theme.;ua: література -- ru: литература
story;noun;ru: рассказ, история -- ua: розповідь, історія;He told an interesting story. + This story is very touching. + The book contains short stories.;ua: література -- ru: литература
subheading;noun;ru: подзаголовок -- ua: підзаголовок;The article has several subheadings. + He added a subheading to his report. + The subheading summarizes the main idea.;ua: література -- ru: литература
supplement;noun;ru: дополнение -- ua: додаток;The book has a supplement with exercises. + The magazine includes a health supplement. + The supplement provides additional information.;ua: література -- ru: литература
to supplement;verb;ru: дополнять -- ua: доповнювати;He supplemented his article with facts. + The book was supplemented with illustrations. + The report was supplemented with statistics.;ua: література -- ru: литература
survey;noun;ru: обзор, опрос -- ua: огляд, опитування;The book provides a survey of modern literature. + He conducted a survey. + The survey results were surprising.;ua: література -- ru: литература
to survey;verb;ru: изучать, обследовать -- ua: досліджувати, оглядати;He surveyed the book market. + The scientist surveyed the area. + She surveyed the readers’ opinions.;ua: література -- ru: литература
title;noun;ru: заголовок, название -- ua: заголовок, назва;The book’s title is very intriguing. + He wrote a new article with a catchy title. + The movie has a long title.;ua: література -- ru: литература
topic;noun;ru: тема -- ua: тема;The topic of the article is science. + We discussed an interesting topic. + His speech covered various topics.;ua: література -- ru: литература
tragedy;noun;ru: трагедия -- ua: трагедія;The play is a famous tragedy. + His life story is a real tragedy. + She enjoys reading classical tragedies.;ua: література -- ru: литература
verse;noun;ru: стих, строфа -- ua: вірш, строфа;He wrote a verse about love. + The poem has beautiful verses. + She recited a verse from memory.;ua: література -- ru: литература
volume;noun;ru: том, объём -- ua: том, обсяг;The book consists of three volumes. + He read the first volume of the encyclopedia. + The library has a large volume of books.;ua: література -- ru: литература
work;noun;ru: произведение, работа -- ua: твір, робота;This is his greatest literary work. + He presented his work to the audience. + The writer’s work is widely recognized.;ua: література -- ru: литература
writer;noun;ru: писатель -- ua: письменник;She is a famous writer. + He dreams of becoming a writer. + The writer won a prestigious award.;ua: література -- ru: литература
amber;noun/adjective;ru: янтарь, янтарный -- ua: бурштин, бурштиновий;The amber stone glowed in the sunlight. + She wore an amber necklace. + The traffic light turned amber.;ua: кольори -- ru: цвета
aqua;noun/adjective;ru: аквамарин, цвет морской волны -- ua: аквамарин, колір морської хвилі;The dress was a beautiful shade of aqua. + He painted the walls in aqua. + The sea looked bright aqua under the sun.;ua: кольори -- ru: цвета
aquamarine;noun/adjective;ru: аквамарин, аквамариновый -- ua: аквамарин, аквамариновий;She wore an aquamarine ring. + The sky had an aquamarine hue. + The gemstone was a deep aquamarine.;ua: кольори -- ru: цвета
azure;noun/adjective;ru: лазурь, лазурный -- ua: лазур, лазурний;The azure sky was cloudless. + She admired the azure water. + His shirt was an azure color.;ua: кольори -- ru: цвета
beige;noun/adjective;ru: бежевый -- ua: бежевий;The walls were painted beige. + She wore a beige coat. + The carpet had a soft beige tone.;ua: кольори -- ru: цвета
black;noun/adjective;ru: черный -- ua: чорний;He was dressed in black. + The night was completely black. + She has black hair.;ua: кольори -- ru: цвета
blue;noun/adjective;ru: синий, голубой -- ua: синій, блакитний;The ocean was deep blue. + He bought a blue jacket. + The sky is bright blue today.;ua: кольори -- ru: цвета
bronze;noun/adjective;ru: бронза, бронзовый -- ua: бронза, бронзовий;The statue was made of bronze. + He won a bronze medal. + Her skin had a bronze glow.;ua: кольори -- ru: цвета
brown;noun/adjective;ru: коричневый -- ua: коричневий;She has brown eyes. + The table was dark brown. + The leaves turned brown in autumn.;ua: кольори -- ru: цвета
copper;noun/adjective;ru: медь, медный -- ua: мідь, мідний;The wires are made of copper. + She wore a copper bracelet. + His hair had a copper tint.;ua: кольори -- ru: цвета
coral;noun/adjective;ru: коралл, коралловый -- ua: корал, кораловий;She wore a coral dress. + The coral reefs are beautiful. + His tie was a coral shade.;ua: кольори -- ru: цвета
cream;noun/adjective;ru: кремовый -- ua: кремовий;The walls were painted cream. + She wore a cream-colored sweater. + The sofa had a soft cream tone.;ua: кольори -- ru: цвета
dark;adjective;ru: темный -- ua: темний;The room was dark. + She prefers dark colors. + His hair is naturally dark.;ua: кольори -- ru: цвета
dark-blue;adjective;ru: темно-синий -- ua: темно-синій;He wore a dark-blue suit. + The sea was dark-blue at night. + She chose dark-blue curtains.;ua: кольори -- ru: цвета
emerald;noun/adjective;ru: изумруд, изумрудный -- ua: смарагд, смарагдовий;She wore an emerald necklace. + The grass was emerald green. + His eyes were emerald-colored.;ua: кольори -- ru: цвета
fuchsia;noun/adjective;ru: фуксия, ярко-розовый -- ua: фуксія, яскраво-рожевий;Her dress was fuchsia. + The lipstick was a bold fuchsia. + The flowers were fuchsia-colored.;ua: кольори -- ru: цвета
golden;adjective;ru: золотой -- ua: золотий;The sunset had a golden glow. + She wore a golden bracelet. + The fields looked golden in autumn.;ua: кольори -- ru: цвета
gray;noun/adjective;ru: серый -- ua: сірий;The sky was gray and cloudy. + He wore a gray suit. + The cat has gray fur.;ua: кольори -- ru: цвета
green;noun/adjective;ru: зеленый -- ua: зелений;The grass is green. + She bought a green dress. + The traffic light turned green.;ua: кольори -- ru: цвета
indigo;noun/adjective;ru: индиго, темно-синий -- ua: індиго, темно-синій;His shirt was indigo. + The night sky looked indigo. + The artist used indigo paint.;ua: кольори -- ru: цвета
ivory;noun/adjective;ru: цвет слоновой кости -- ua: колір слонової кістки;Her wedding dress was ivory. + The piano keys were made of ivory. + The walls were painted ivory.;ua: кольори -- ru: цвета
khaki;noun/adjective;ru: хаки -- ua: хакі;He wore khaki pants. + The backpack was khaki-colored. + The uniform was in khaki.;ua: кольори -- ru: цвета
light;adjective;ru: светлый -- ua: світлий;She prefers light colors. + His hair is light brown. + The room was light and airy.;ua: кольори -- ru: цвета
light-blue;adjective;ru: светло-синий, голубой -- ua: світло-синій, блакитний;She wore a light-blue dress. + The sky was light-blue. + The water had a light-blue tint.;ua: кольори -- ru: цвета
light-green;adjective;ru: светло-зеленый -- ua: світло-зелений;His shirt was light-green. + The leaves were light-green in spring. + She painted her room light-green.;ua: кольори -- ru: цвета
lilac;noun/adjective;ru: сиреневый -- ua: бузковий;The dress was lilac. + The lilac flowers smelled wonderful. + She chose lilac curtains.;ua: кольори -- ru: цвета
magenta;noun/adjective;ru: пурпурный -- ua: пурпурний;The ink was magenta. + Her lips were painted magenta. + The sunset had magenta hues.;ua: кольори -- ru: цвета
maroon;noun/adjective;ru: бордовый -- ua: бордовий;He wore a maroon tie. + The sofa was maroon-colored. + The leaves turned maroon in autumn.;ua: кольори -- ru: цвета
navy;noun/adjective;ru: темно-синий -- ua: темно-синій;She wore a navy blue jacket. + The uniform was navy-colored. + The navy walls made the room cozy.;ua: кольори -- ru: цвета
olive;noun/adjective;ru: оливковый -- ua: оливковий;His pants were olive green. + The army uniform was olive-colored. + She chose olive paint for the kitchen.;ua: кольори -- ru: цвета
orange;noun/adjective;ru: оранжевый -- ua: оранжевий;The fruit was bright orange. + She wore an orange scarf. + The sunset had orange hues.;ua: кольори -- ru: цвета
pale;adjective;ru: бледный, светлый -- ua: блідий, світлий;Her skin was pale. + The walls were painted pale yellow. + He looked pale from the cold.;ua: кольори -- ru: цвета
pearl color;noun/adjective;ru: перламутровый -- ua: перламутровий;The car was pearl-colored. + Her dress had a pearl sheen. + The paint was pearl color.;ua: кольори -- ru: цвета
pink;noun/adjective;ru: розовый -- ua: рожевий;The flowers were pink. + She wore a pink dress. + The sky turned pink at sunset.;ua: кольори -- ru: цвета
purple;noun/adjective;ru: фиолетовый -- ua: фіолетовий;The grapes were deep purple. + She wore a purple sweater. + The walls were painted purple.;ua: кольори -- ru: цвета
red;noun/adjective;ru: красный -- ua: червоний;Her lips were red. + The rose was bright red. + He wore a red tie.;ua: кольори -- ru: цвета
silvery;adjective;ru: серебристый -- ua: сріблястий;The car had a silvery shine. + Her hair was silvery-gray. + The lake reflected a silvery light.;ua: кольори -- ru: цвета
sky blue;noun/adjective;ru: небесно-голубой -- ua: небесно-блакитний;The sky was sky blue. + She wore a sky-blue dress. + The walls were painted sky blue.;ua: кольори -- ru: цвета
snow-white;adjective;ru: белоснежный -- ua: білосніжний;Her dress was snow-white. + The snow looked snow-white. + The clouds were snow-white.;ua: кольори -- ru: цвета
turquoise;noun/adjective;ru: бирюзовый -- ua: бірюзовий;She bought a turquoise ring. + The sea was turquoise. + His shirt was turquoise-colored.;ua: кольори -- ru: цвета
violet;noun/adjective;ru: фиолетовый -- ua: фіолетовий;The flowers were violet. + She chose violet wallpaper. + The sky had a violet hue.;ua: кольори -- ru: цвета
white;noun/adjective;ru: белый -- ua: білий;The dress was white. + The snow was pure white. + He wore a white shirt.;ua: кольори -- ru: цвета
yellow;noun/adjective;ru: желтый -- ua: жовтий;The sun is yellow. + She bought a yellow dress. + The leaves turned yellow in autumn.;ua: кольори -- ru: цвета
monday;noun;ru: понедельник -- ua: понеділок;Monday is the first day of the workweek. + She starts her new job on Monday. + I don't like Mondays.;ua: дні тижня -- ru: дни недели
tuesday;noun;ru: вторник -- ua: вівторок;We have a meeting on Tuesday. + She goes to the gym every Tuesday. + Tuesday is my favorite day.;ua: дні тижня -- ru: дни недели
wednesday;noun;ru: среда -- ua: середа;I have a doctor's appointment on Wednesday. + The concert is on Wednesday evening. + We always have lunch together on Wednesdays.;ua: дні тижня -- ru: дни недели
thursday;noun;ru: четверг -- ua: четвер;The exam is on Thursday. + He is flying to Paris on Thursday. + Thursdays are always busy at work.;ua: дні тижня -- ru: дни недели
friday;noun;ru: пятница -- ua: п’ятниця;Friday is the best day of the week. + We are going to a party on Friday. + I always relax on Friday evenings.;ua: дні тижня -- ru: дни недели
saturday;noun;ru: суббота -- ua: субота;We usually go hiking on Saturday. + Saturday is a perfect day for shopping. + He sleeps in on Saturdays.;ua: дні тижня -- ru: дни недели
sunday;noun;ru: воскресенье -- ua: неділя;They go to church on Sunday. + Sunday is a family day. + I like to rest on Sundays.;ua: дні тижня -- ru: дни недели
week;noun;ru: неделя -- ua: тиждень;There are seven days in a week. + She is planning a trip next week. + I work five days a week.;ua: дні тижня -- ru: дни недели
weekday;noun;ru: будний день -- ua: будній день;Monday to Friday are weekdays. + I wake up early on weekdays. + Weekdays are usually very busy.;ua: дні тижня -- ru: дни недели
weekend;noun;ru: выходные -- ua: вихідні;We are going to the beach this weekend. + Weekends are for relaxation. + I don't work on weekends.;ua: дні тижня -- ru: дни недели
morning;noun;ru: утро -- ua: ранок;I love drinking coffee in the morning. + The morning air was fresh. + He jogs every morning.;ua: дні тижня -- ru: дни недели
afternoon;noun;ru: день (вторая половина) -- ua: післяобідній час;I have a meeting in the afternoon. + The sun was shining all afternoon. + She usually takes a nap in the afternoon.;ua: дні тижня -- ru: дни недели
evening;noun;ru: вечер -- ua: вечір;We went for a walk in the evening. + The sky turned red in the evening. + He likes to read in the evening.;ua: дні тижня -- ru: дни недели
night;noun;ru: ночь -- ua: ніч;The stars were bright at night. + She had a nightmare last night. + Night is the best time for stargazing.;ua: дні тижня -- ru: дни недели
midnight;noun;ru: полночь -- ua: північ;The party ended at midnight. + He called me at midnight. + Midnight is a mysterious time.;ua: дні тижня -- ru: дни недели
dawn;noun;ru: рассвет -- ua: світанок;The birds start singing at dawn. + They set out on their journey at dawn. + The sky was pink at dawn.;ua: дні тижня -- ru: дни недели
dusk;noun;ru: сумерки -- ua: сутінки;The streetlights turn on at dusk. + Dusk is a beautiful time of the day. + The air was cool at dusk.;ua: дні тижня -- ru: дни недели
today;adverb/noun;ru: сегодня -- ua: сьогодні;I am very busy today. + She arrived today. + Today is a good day.;ua: дні тижня -- ru: дни недели
yesterday;adverb/noun;ru: вчера -- ua: вчора;It rained yesterday. + Yesterday was my birthday. + He looked tired yesterday.;ua: дні тижня -- ru: дни недели
tomorrow;adverb/noun;ru: завтра -- ua: завтра;We are going to the zoo tomorrow. + Tomorrow is another day. + The meeting is scheduled for tomorrow.;ua: дні тижня -- ru: дни недели
asset;noun;ru: актив, имущество -- ua: актив, майно;The company’s assets are worth millions. + Real estate is a valuable asset. + He has many financial assets.;ua: гроші -- ru: деньги
atm;noun;ru: банкомат -- ua: банкомат;I withdrew money from the ATM. + This ATM is out of service. + There is an ATM near the bank.;ua: гроші -- ru: деньги
bank;noun;ru: банк -- ua: банк;I need to go to the bank. + The bank closes at 5 PM. + He opened an account at the bank.;ua: гроші -- ru: деньги
to bargain;verb;ru: торговаться -- ua: торгуватися;He always bargains for a lower price. + She bargained with the seller at the market. + They love bargaining when shopping.;ua: гроші -- ru: деньги
bill;noun;ru: счет, банкнота -- ua: рахунок, банкнота;The restaurant bill was expensive. + I paid the electricity bill. + He gave me a fifty-dollar bill.;ua: гроші -- ru: деньги
black market;noun;ru: черный рынок -- ua: чорний ринок;They bought goods on the black market. + The black market is illegal. + He was arrested for selling on the black market.;ua: гроші -- ru: деньги
to borrow;verb;ru: брать в долг -- ua: позичати;Can I borrow your book? + He borrowed money from the bank. + She borrowed a pen from her friend.;ua: гроші -- ru: деньги
broke;adjective;ru: без денег -- ua: без грошей;I'm completely broke this month. + He went broke after his business failed. + She spent all her money and is now broke.;ua: гроші -- ru: деньги
budget;noun;ru: бюджет -- ua: бюджет;We need to plan our budget carefully. + The company has a tight budget. + He set a budget for his vacation.;ua: гроші -- ru: деньги
to buy;verb;ru: покупать -- ua: купувати;She bought a new phone. + I want to buy a car. + He buys fresh vegetables every morning.;ua: гроші -- ru: деньги
cash;noun;ru: наличные деньги -- ua: готівка;He paid in cash. + I don’t carry much cash. + The cashier gave me change in cash.;ua: гроші -- ru: деньги
cash machine;noun;ru: банкомат -- ua: банкомат;I withdrew cash from the cash machine. + The cash machine is out of order. + There is a cash machine next to the store.;ua: гроші -- ru: деньги
cashier;noun;ru: кассир -- ua: касир;The cashier gave me my receipt. + He works as a cashier in a supermarket. + The cashier counted the money.;ua: гроші -- ru: деньги
cent;noun;ru: цент -- ua: цент;The price is fifty cents. + He found a cent on the ground. + The coin is worth one cent.;ua: гроші -- ru: деньги
change;noun;ru: сдача, мелочь -- ua: решта, дріб’язок;Do you have change for a dollar? + The cashier gave me my change. + He put the change in his pocket.;ua: гроші -- ru: деньги
cheap;adjective;ru: дешевый -- ua: дешевий;This phone is very cheap. + He always looks for cheap flights. + The shoes were cheap but good quality.;ua: гроші -- ru: деньги
check;noun;ru: чек -- ua: чек;He wrote a check for $100. + I received my paycheck today. + The restaurant bill was paid by check.;ua: гроші -- ru: деньги
coin;noun;ru: монета -- ua: монета;He collected old coins. + I found a coin on the street. + The coin is made of silver.;ua: гроші -- ru: деньги
cost;noun;ru: стоимость -- ua: вартість;The cost of living is high. + What is the cost of this product? + The total cost is $200.;ua: гроші -- ru: деньги
to cost;verb;ru: стоить -- ua: коштувати;This book costs $10. + How much does it cost? + The car costs a fortune.;ua: гроші -- ru: деньги
credit card;noun;ru: кредитная карта -- ua: кредитна картка;I paid with my credit card. + She lost her credit card. + The bank issued a new credit card.;ua: гроші -- ru: деньги
credit limit;noun;ru: кредитный лимит -- ua: кредитний ліміт;My credit limit is too low. + He requested an increase in his credit limit. + The bank sets a credit limit for each card.;ua: гроші -- ru: деньги
currency;noun;ru: валюта -- ua: валюта;The US dollar is a strong currency. + What is the local currency here? + The exchange rate for this currency is high.;ua: гроші -- ru: деньги
debt;noun;ru: долг -- ua: борг;He is in a lot of debt. + She paid off her debt. + The company has huge debts.;ua: гроші -- ru: деньги
deficit;noun;ru: дефицит -- ua: дефіцит;The country is facing a budget deficit. + There is a water deficit in this region. + The government is working to reduce the deficit.;ua: гроші -- ru: деньги
deflation;noun;ru: дефляция -- ua: дефляція;Deflation can slow down the economy. + The country is experiencing deflation. + Prices dropped due to deflation.;ua: гроші -- ru: деньги
deposit;noun;ru: депозит, вклад -- ua: депозит, вклад;He made a deposit at the bank. + I need to pay a deposit for the apartment. + The bank offers high-interest deposits.;ua: гроші -- ru: деньги
discount;noun;ru: скидка -- ua: знижка;The store is offering a 20% discount. + I got a discount on my purchase. + Discounts are available for students.;ua: гроші -- ru: деньги
to discount;verb;ru: делать скидку -- ua: робити знижку;The store discounted the old models. + They discounted the price for regular customers. + The item was discounted by 10%.;ua: гроші -- ru: деньги
to donate;verb;ru: жертвовать -- ua: жертвувати;He donated money to charity. + They donated clothes to the poor. + She donates blood regularly.;ua: гроші -- ru: деньги
due date;noun;ru: срок платежа -- ua: термін платежу;The bill’s due date is tomorrow. + What is the due date for this loan? + The due date for submission is next week.;ua: гроші -- ru: деньги
earnings;noun;ru: заработок -- ua: заробіток;His earnings have increased. + The company reported high earnings. + She saved most of her earnings.;ua: гроші -- ru: деньги
economic;adjective;ru: экономический -- ua: економічний;The country is facing economic problems. + Economic growth is slowing down. + He studied economic theory.;ua: гроші -- ru: деньги
exchange office;noun;ru: обменный пункт -- ua: обмінний пункт;There is an exchange office near the hotel. + He exchanged money at the exchange office. + The exchange office offers good rates.;ua: гроші -- ru: деньги
exchange rate;noun;ru: курс обмена -- ua: курс обміну;The exchange rate is very high today. + I checked the exchange rate before traveling. + The exchange rate fluctuates daily.;ua: гроші -- ru: деньги
expensive;adjective;ru: дорогой -- ua: дорогий;This watch is very expensive. + Hotels in this area are expensive. + He bought an expensive car.;ua: гроші -- ru: деньги
fee;noun;ru: плата, сбор -- ua: плата, збір;There is an entrance fee. + The bank charges a monthly fee. + The membership fee is $50.;ua: гроші -- ru: деньги
fiscal;adjective;ru: финансовый, налоговый -- ua: фінансовий, податковий;The government announced fiscal policies. + The fiscal year ends in December. + They are conducting a fiscal audit.;ua: гроші -- ru: деньги
fiver;noun;ru: пятерка (банкнота) -- ua: п’ятірка (банкнота);He gave me a fiver. + I only have a fiver in my wallet. + She borrowed a fiver from her friend.;ua: гроші -- ru: деньги
grand;noun;ru: тысяча (разговорн.) -- ua: тисяча (розм.);The car costs ten grand. + He won a grand in the lottery. + She saved up five grand for her trip.;ua: гроші -- ru: деньги
hard currency;noun;ru: твердая валюта -- ua: тверда валюта;The US dollar is a hard currency. + Investors prefer to keep their savings in hard currency. + The country has a shortage of hard currency.;ua: гроші -- ru: деньги
inflation;noun;ru: инфляция -- ua: інфляція;Inflation is rising rapidly. + High inflation affects the economy. + The government is trying to control inflation.;ua: гроші -- ru: деньги
to invest;verb;ru: инвестировать -- ua: інвестувати;He invested in real estate. + She wants to invest in stocks. + They invested a lot of money in their business.;ua: гроші -- ru: деньги
invoice;noun;ru: счет-фактура -- ua: рахунок-фактура;The company sent an invoice for the services. + Please pay the invoice by Friday. + The invoice includes all charges.;ua: гроші -- ru: деньги
to invoice;verb;ru: выставлять счет -- ua: виставляти рахунок;They invoiced the client for the work. + He was invoiced $500 for the repairs. + The company invoices customers monthly.;ua: гроші -- ru: деньги
to lend;verb;ru: давать в долг -- ua: позичати (комусь);He lent me $50. + The bank lends money at low interest rates. + Can you lend me your book?;ua: гроші -- ru: деньги
loan;noun;ru: заем, кредит -- ua: позика, кредит;She took out a loan to buy a car. + The bank approved his loan application. + He is paying off his student loan.;ua: гроші -- ru: деньги
loss;noun;ru: убыток, потеря -- ua: збиток, втрата;The company reported a financial loss. + He suffered a great loss. + Their business is operating at a loss.;ua: гроші -- ru: деньги
money;noun;ru: деньги -- ua: гроші;I need some money for shopping. + She saved a lot of money. + He lost his money in a bad investment.;ua: гроші -- ru: деньги
to owe;verb;ru: быть должным -- ua: бути винним;He owes me $100. + I still owe the bank some money. + She owes her success to hard work.;ua: гроші -- ru: деньги
payment;noun;ru: платеж -- ua: платіж;The payment is due next week. + He made the final payment for the car. + The store accepts online payments.;ua: гроші -- ru: деньги
petty cash;noun;ru: мелкие деньги, касса мелких расходов -- ua: дрібна готівка, каса дрібних витрат;The office keeps petty cash for small expenses. + He took $10 from the petty cash. + The manager controls the petty cash fund.;ua: гроші -- ru: деньги
poor;adjective;ru: бедный -- ua: бідний;They are a poor family. + He grew up in a poor neighborhood. + The country is helping poor citizens.;ua: гроші -- ru: деньги
poverty;noun;ru: бедность -- ua: бідність;The government is working to reduce poverty. + Many people live in poverty. + Poverty affects millions worldwide.;ua: гроші -- ru: деньги
price;noun;ru: цена -- ua: ціна;The price of gas has increased. + What’s the price of this phone? + They sell goods at a low price.;ua: гроші -- ru: деньги
profit;noun;ru: прибыль -- ua: прибуток;The company made a huge profit. + He invested for profit. + Profits have doubled this year.;ua: гроші -- ru: деньги
to purchase;verb;ru: покупать -- ua: купувати;She purchased a new laptop. + I want to purchase a car. + He purchased the item online.;ua: гроші -- ru: деньги
receipt;noun;ru: чек, квитанция -- ua: чек, квитанція;Keep your receipt for a refund. + The cashier gave me a receipt. + I lost my receipt.;ua: гроші -- ru: деньги
